Subject,Start Date,Start Time,End Date,End Time
Seattle Storm @ Indiana Fever,06/17/2021,7:00 PM,06/17/2021,9:00 PM
Atlanta Dream @ Washington Mystics,06/17/2021,7:00 PM,06/17/2021,9:00 PM
Connecticut Sun @ Chicago Sky,06/17/2021,8:00 PM,06/17/2021,10:00 PM
Minnesota Lynx @ Dallas Wings,06/17/2021,8:00 PM,06/17/2021,10:00 PM
New York Liberty @ Las Vegas Aces,06/17/2021,10:00 PM,06/17/2021,12:00 PM
Phoenix Mercury @ Los Angeles Sparks,06/18/2021,10:30 PM,06/18/2021,12:30 PM
Connecticut Sun @ Chicago Sky,06/19/2021,2:00 PM,06/19/2021,4:00 PM
Indiana Fever @ Washington Mystics,06/19/2021,7:00 PM,06/19/2021,9:00 PM
Minnesota Lynx @ Dallas Wings,06/19/2021,8:00 PM,06/19/2021,10:00 PM
New York Liberty @ Los Angeles Sparks,06/20/2021,4:00 PM,06/20/2021,6:00 PM
Dallas Wings @ Connecticut Sun,06/22/2021,7:00 PM,06/22/2021,9:00 PM
Chicago Sky @ New York Liberty,06/22/2021,7:00 PM,06/22/2021,9:00 PM
Washington Mystics @ Seattle Storm,06/22/2021,10:00 PM,06/22/2021,12:00 PM
Minnesota Lynx @ Atlanta Dream,06/23/2021,7:00 PM,06/23/2021,9:00 PM
Dallas Wings @ Indiana Fever,06/24/2021,7:00 PM,06/24/2021,9:00 PM
Chicago Sky @ New York Liberty,06/24/2021,7:00 PM,06/24/2021,9:00 PM
Washington Mystics @ Los Angeles Sparks,06/24/2021,10:30 PM,06/24/2021,12:30 PM
Las Vegas Aces @ Minnesota Lynx,06/25/2021,8:00 PM,06/25/2021,10:00 PM
Washington Mystics @ Dallas Wings,06/26/2021,1:00 PM,06/26/2021,3:00 PM
New York Liberty @ Atlanta Dream,06/26/2021,7:00 PM,06/26/2021,9:00 PM
Los Angeles Sparks @ Phoenix Mercury,06/26/2021,10:00 PM,06/26/2021,12:00 PM
Chicago Sky @ Connecticut Sun,06/27/2021,2:00 PM,06/27/2021,4:00 PM
Seattle Storm @ Las Vegas Aces,06/27/2021,3:00 PM,06/27/2021,5:00 PM
